NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
16224,11/14/2019 21:30,15.019143,0,97.727,53.43,0,133.437,6939.130783,95.878,560.993783,560.993783
18742,11/14/2019 21:30,15.019143,0,97.744,104.871,0,212.387,6939.130783,95.878,560.993783,560.993783
21061,11/14/2019 21:30,15.019143,0,97.744,104.871,0,68.387,6939.130783,95.878,560.993783,560.993783
24468,11/14/2019 21:30,15.019143,0,97.683,156.309,0,51.316,6939.130783,95.878,560.993783,560.993783
24863,11/14/2019 21:30,15.019143,0,97.744,104.871,0,164.387,6939.130783,95.878,560.993783,560.993783
26864,11/14/2019 21:30,15.019143,0,97.589,207.737,0,130.169,6939.130783,95.878,560.993783,560.993783
31859,11/14/2019 21:30,15.019143,0,97.746,79.15,0,328.91,6939.130783,95.878,560.993783,560.993783
33499,11/14/2019 21:30,15.019143,0,97.722,130.591,0,215.859,6939.130783,95.878,560.993783,560.993783
34077,11/14/2019 21:30,15.019143,0,97.589,207.737,0,298.169,6939.130783,95.878,560.993783,560.993783
37538,11/14/2019 21:30,15.019143,0,97.589,207.737,0,178.169,6939.130783,95.878,560.993783,560.993783
39591,11/14/2019 21:30,15.019143,0,97.746,79.15,0,184.91,6939.130783,95.878,560.993783,560.993783
40397,11/14/2019 21:30,15.01810911,0.0058956,98.7439,303.2989,271.2807,88.166,6939.449,95.884,602.226,520.402
44896,11/14/2019 21:30,15.019143,0,97.744,104.871,0,20.387,6939.130783,95.878,560.993783,560.993783
45935,11/14/2019 21:30,15.019143,0,97.746,79.15,0,352.91,6939.130783,95.878,560.993783,560.993783
46729,11/14/2019 21:30,15.019143,0,97.727,53.43,0,229.437,6939.130783,95.878,560.993783,560.993783
49231,11/14/2019 21:30,15.019143,0,97.727,53.43,0,109.437,6939.130783,95.878,560.993783,560.993783
50450,11/14/2019 21:30,15.019143,0,97.746,79.15,0,208.91,6939.130783,95.878,560.993783,560.993783
52822,11/14/2019 21:30,15.019143,0,97.636,182.024,0,6.753,6939.130783,95.878,560.993783,560.993783
53066,11/14/2019 21:30,15.019143,0,97.722,130.591,0,143.859,6939.130783,95.878,560.993783,560.993783
53207,11/14/2019 21:30,15.019143,0,97.744,104.871,0,116.387,6939.130783,95.878,560.993783,560.993783
54494,11/14/2019 21:30,15.019143,0,97.683,156.309,0,339.316,6939.130783,95.878,560.993783,560.993783
55041,11/14/2019 21:30,15.019143,0,97.636,182.024,0,174.753,6939.130783,95.878,560.993783,560.993783
57872,11/14/2019 21:30,15.019143,0,97.727,53.43,0,349.437,6939.130783,95.878,560.993783,560.993783
58006,11/14/2019 21:30,15.019143,0,97.744,104.871,0,332.387,6939.130783,95.878,560.993783,560.993783
65215,11/14/2019 21:30,15.019143,0,97.746,79.15,0,16.91,6939.130783,95.878,560.993783,560.993783
70237,11/14/2019 21:30,15.019143,0,97.744,104.871,0,356.387,6939.130783,95.878,560.993783,560.993783
70502,11/14/2019 21:30,15.019143,0,97.744,104.871,0,44.387,6939.130783,95.878,560.993783,560.993783
71823,11/14/2019 21:30,15.019143,0,97.636,182.024,0,198.753,6939.130783,95.878,560.993783,560.993783
71909,11/14/2019 21:30,15.019143,0,97.727,53.43,0,325.437,6939.130783,95.878,560.993783,560.993783
74562,11/14/2019 21:30,15.019143,0,97.722,130.591,0,239.859,6939.130783,95.878,560.993783,560.993783
74866,11/14/2019 21:30,15.019143,0,97.636,182.024,0,294.753,6939.130783,95.878,560.993783,560.993783
74906,11/14/2019 21:30,15.019143,0,97.746,79.15,0,112.91,6939.130783,95.878,560.993783,560.993783
75276,11/14/2019 21:30,15.019143,0,97.636,182.024,0,318.753,6939.130783,95.878,560.993783,560.993783
79712,11/14/2019 21:30,15.019143,0,97.744,104.871,0,188.387,6939.130783,95.878,560.993783,560.993783
79815,11/14/2019 21:30,14.683922,0.001066,97.743,104.507,332.763,243.136,7044.342467,98.066,673.713599,658.697334
82167,11/14/2019 21:30,15.019143,0,97.722,130.591,0,47.859,6939.130783,95.878,560.993783,560.993783
87343,11/14/2019 21:30,14.975911,0.00192,97.722,130.591,359.859,0,6952.478941,96.154,587.6901,560.993783
95609,11/14/2019 21:30,15.019143,0,97.589,207.737,0,322.169,6939.130783,95.878,560.993783,560.993783
96484,11/14/2019 21:30,15.019143,0,97.589,207.737,0,82.169,6939.130783,95.878,560.993783,560.993783
16314,11/14/2019 21:31,15.019143,0,97.683,156.309,0,31.066,6939.130783,95.878,560.993783,560.993783
57512,11/14/2019 21:31,1.00281919,5.97E-05,13.2333,24.9208,264.2915,95.6742,42161.891,1435.951,35786.273,35781.239
88854,11/14/2019 21:33,15.019143,0,97.727,53.432,0,264.687,6939.130783,95.878,560.993783,560.993783
97514,11/14/2019 21:33,14.18064729,0.0015083,82.5317,130.023,353.1034,6.9935,7210.042,101.546,842.782,821.032
30577,11/14/2019 21:36,14.51923779,0.0138436,99.5704,203.6361,253.3468,105.2487,7097.509,99.178,817.629,621.119
34578,11/14/2019 21:37,0.98348633,0.0014882,14.2398,336.2852,291.8136,239.5216,42712.627,1464.178,36398.057,36270.927
54097,11/14/2019 21:37,14.3217913,0.0013929,74.0425,129.4821,212.469,147.5606,7162.593,100.546,794.434,774.481
83471,11/14/2019 21:37,15.019143,0,97.746,79.155,0,91.16,6939.130783,95.878,560.993783,560.993783
91479,11/14/2019 21:37,0.97664051,0.0013626,14.0115,325.0231,142.2125,39.6602,42911.992,1474.442,36592.329,36475.386
33455,11/14/2019 21:38,12.23623376,0.0093807,102.1898,290.6905,134.8218,247.3026,7954.935,117.683,1651.423,1502.177
51176,11/14/2019 21:38,11.55543631,0.0938262,65.8171,242.6089,2.2243,51.6973,8264.392,124.616,2661.674,1110.841
70497,11/14/2019 21:38,14.79859211,0.0015727,66.5587,134.36,92.1249,25.996,7007.905,97.306,640.791,618.749
92080,11/14/2019 21:38,12.13879338,0.0689439,99.5802,303.1594,103.7241,293.3919,7997.449,118.627,2170.689,1067.938
23484,11/14/2019 21:39,0.99625759,0.0012546,12.5433,320.5929,23.0539,172.1798,42346.814,1445.409,36021.807,35915.551
30635,11/14/2019 21:39,14.55632351,0.0466799,82.9464,93.2304,291.3576,63.8421,7085.448,98.926,1038.062,376.565
50750,11/14/2019 21:39,14.45637589,0.0021566,74.0415,256.3014,293.845,121.5392,7118.069,99.61,755.285,724.583
73286,11/14/2019 21:39,13.27250904,0.0409074,98.8546,104.8609,348.2261,163.1004,7535.287,108.494,1465.401,848.903
86892,11/14/2019 21:39,15.019143,0,97.589,207.743,0,67.919,6939.130783,95.878,560.993783,560.993783
54805,11/14/2019 21:40,1.00054985,0.0005196,13.633,335.0237,348.8993,195.8534,42225.618,1439.208,35869.424,35825.543
10920,11/14/2019 21:41,1.00179569,0.00084,13.8988,341.6315,167.5686,11.0316,42190.603,1437.418,35847.908,35777.028
94169,11/14/2019 21:41,14.10498216,0.0041734,98.8033,299.9566,286.0971,73.5607,7235.804,102.091,887.867,827.471
35164,11/14/2019 21:42,2.24069367,0.7196071,21.463,241.6036,291.0091,9.9349,24668.733,642.658,36042.393,538.802
60283,11/14/2019 21:43,15.019143,0,97.589,207.746,0,202.919,6939.130783,95.878,560.993783,560.993783
61261,11/14/2019 21:43,0.97994738,0.0021122,15.4398,356.4842,50.243,121.5992,42815.399,1469.466,36527.699,36346.83
91841,11/14/2019 21:43,8.76824639,0.0807092,86.8786,140.059,89.1834,280.1325,9934.057,164.228,4357.692,2754.152
74617,11/14/2019 21:44,1.00385247,0.0019429,14.9148,357.3932,303.827,234.0105,42132.954,1434.473,35836.679,35672.959
4758,11/14/2019 21:45,14.36578822,0.0016129,74.0656,111.7799,197.8833,162.1754,7147.961,100.238,781.355,758.297
13749,11/14/2019 21:47,12.18216803,0.013715,74.0256,105.2025,339.2852,142.215,7978.454,118.205,1709.744,1490.895
16617,11/14/2019 21:48,15.019143,0,97.722,130.603,0,235.359,6939.130783,95.878,560.993783,560.993783
15573,11/14/2019 21:49,9.23822191,0.2407671,87.1671,293.8086,48.8302,329.6725,9594.217,155.874,5526.055,906.11
68564,11/14/2019 21:49,15.019143,0,97.589,207.75,0,345.419,6939.130783,95.878,560.993783,560.993783
10935,11/14/2019 21:52,12.33378362,0.0265559,82.7018,273.8619,232.1918,186.7351,7912.935,116.752,1744.935,1324.665
45105,11/14/2019 21:53,15.019143,0,97.746,79.166,0,247.16,6939.130783,95.878,560.993783,560.993783
94041,11/14/2019 21:54,4.87086706,0.5554256,24.0846,310.0543,298.2679,16.9513,14700.462,295.635,16487.34,157.314
51023,11/14/2019 21:55,12.61581951,0.0079951,82.4592,264.5663,298.8653,128.1446,7794.558,114.142,1478.741,1354.105
52155,11/14/2019 21:56,12.08899726,0.0023421,82.9563,100.2336,339.2838,183.9041,8019.395,119.116,1660.043,1622.478
96077,11/14/2019 21:56,13.01633227,0.0026784,90.2973,288.9897,2.5099,28.204,7633.834,110.63,1276.146,1235.253
99277,11/14/2019 21:56,15.019143,0,97.744,104.889,0,237.887,6939.130783,95.878,560.993783,560.993783
10129,11/14/2019 21:57,2.32390025,0.7190419,20.0321,182.2993,61.6558,351.7127,24076.324,619.647,35010.075,386.303
60085,11/14/2019 21:57,15.019143,0,97.722,130.609,0,173.109,6939.130783,95.878,560.993783,560.993783
73937,11/14/2019 21:57,12.9605236,0.0029252,90.2992,291.9867,181.8515,206.3203,7655.733,111.106,1299.993,1255.203
97009,11/14/2019 21:57,12.46876101,0.0018341,73.9868,110.4349,296.1259,233.6386,7855.725,115.488,1491.998,1463.182
83054,11/14/2019 21:58,12.55220824,0.0025016,82.7122,106.2433,97.3772,20.8475,7820.87,114.72,1462.3,1423.17
84119,11/14/2019 21:58,14.80837346,0.0062954,93.4025,104.381,131.0009,229.6681,7004.819,97.242,670.782,582.586
15694,11/14/2019 21:59,15.019143,0,97.722,130.611,0,228.609,6939.130783,95.878,560.993783,560.993783
87168,11/14/2019 21:59,15.019143,0,97.727,53.45,0,314.187,6939.130783,95.878,560.993783,560.993783
96844,11/14/2019 22:00,1.07034911,0.0059661,1.5934,47.9046,85.0379,24.8707,40369.329,1345.355,34232.042,33750.347
45725,11/14/2019 22:02,13.50436159,0.0903092,82.4894,130.892,108.0002,262.159,7448.791,106.632,1743.35,397.961
69128,11/14/2019 22:02,15.019143,0,97.589,207.759,0,10.169,6939.130783,95.878,560.993783,560.993783
81354,11/14/2019 22:03,14.09296378,0.007277,70.8797,43.4372,272.2265,208.7147,7239.917,102.178,914.467,809.097
88819,11/14/2019 22:03,15.019143,0,97.683,156.331,0,7.066,6939.130783,95.878,560.993783,560.993783
27966,11/14/2019 22:05,14.05137367,0.0069964,98.6184,302.9811,323.3475,88.7388,7254.196,102.481,926.814,825.308
59114,11/14/2019 22:06,15.019143,0,97.589,207.761,0,1.169,6939.130783,95.878,560.993783,560.993783
60849,11/14/2019 22:06,12.95953051,0.0040275,90.2977,308.8576,174.0238,186.1371,7656.124,111.115,1308.824,1247.154
89581,11/14/2019 22:06,15.019143,0,97.683,156.333,0,138.316,6939.130783,95.878,560.993783,560.993783
61345,11/14/2019 22:07,14.17660286,0.0040962,82.9154,127.2112,149.6828,2.3241,7211.413,101.575,862.817,803.739
51666,11/14/2019 22:08,13.59792252,0.0001624,100.0665,88.7536,29.2548,96.4635,7414.584,105.898,1037.653,1035.245
62943,11/14/2019 22:08,14.61087973,0.0106935,73.7719,47.489,312.0238,47.1859,7067.8,98.556,765.244,614.085
66297,11/14/2019 22:08,12.42641176,0.0063407,102.4013,312.6733,153.0043,283.65,7873.563,115.882,1545.352,1445.504
93888,11/14/2019 22:08,13.90794487,0.0164293,98.3901,302.5005,76.5339,336.5311,7303.984,103.537,1045.849,805.85
11682,11/14/2019 22:09,15.353236,0.000911,97.679,156.669,348.248,232.101,6838.096509,93.791,466.18944,453.729578
79991,11/14/2019 22:09,15.019143,0,97.683,156.335,0,221.566,6939.130783,95.878,560.993783,560.993783
18861,11/14/2019 22:10,14.45874792,0.0089099,98.5919,296.7241,280.683,132.443,7117.29,99.593,802.57,675.741
56249,11/14/2019 22:10,13.4452596,0.0173492,44.6221,139.2404,237.4484,282.5959,7470.603,107.1,1222.077,962.859
77853,11/14/2019 22:10,12.97134017,0.0029126,90.2984,298.9306,140.8963,219.427,7651.476,111.013,1295.627,1251.056
21878,11/14/2019 22:11,12.97477091,0.0020004,90.2988,307.7233,90.5418,269.7995,7650.128,110.984,1287.296,1256.689
39060,11/14/2019 22:11,12.38251996,0.0045401,74.007,116.3983,147.8781,326.788,7892.158,116.292,1549.855,1478.192
65726,11/14/2019 22:11,12.95301619,0.0034655,90.2976,303.0433,221.3216,138.528,7658.691,111.171,1307.097,1254.015
72230,11/14/2019 22:11,12.95536871,0.0023836,90.2996,308.3469,257.8673,129.8849,7657.764,111.15,1297.882,1261.376
68939,11/14/2019 22:12,14.04381484,0.0046579,82.7836,280.9001,326.3128,33.5085,7256.799,102.536,912.465,844.862
80130,11/14/2019 22:12,14.3350719,0.0004971,74.0334,74.8494,170.2753,307.306,7158.168,100.452,783.591,776.475
88858,11/14/2019 22:12,2.2189205,0.7220063,22.2495,60.4142,235.7633,34.5576,24829.845,648.964,36379.014,524.405
32001,11/14/2019 22:13,14.38866128,0.0082486,98.4152,297.4176,111.1475,303.1303,7140.384,100.078,821.147,703.351
37511,11/14/2019 22:14,14.07529402,0.0141411,98.2549,293.1034,186.9032,231.3519,7245.975,102.306,970.306,765.374
58997,11/14/2019 22:14,14.03851927,0.0011181,82.5231,32.0385,148.0633,218.6721,7258.624,102.574,888.604,872.373
72442,11/14/2019 22:14,13.82710954,0.0174813,70.9854,119.8291,15.9244,138.9025,7332.424,104.143,1082.469,826.108
7821,11/14/2019 22:15,14.41412832,0.0006044,98.1981,299.1759,57.9116,329.6553,7131.971,99.901,758.146,749.525
36256,11/14/2019 22:15,14.91110872,0.0034836,73.9815,297.2278,31.2781,358.3246,6972.607,96.572,618.762,570.182
48504,11/14/2019 22:15,12.22360055,0.0209477,73.9472,301.4456,291.6754,94.1763,7960.415,117.804,1749.032,1415.528
62360,11/14/2019 22:16,12.31205219,0.0053236,101.9944,296.8837,234.7024,181.1491,7922.243,116.958,1586.283,1501.934
87337,11/14/2019 22:16,15.019143,0,97.722,130.622,0,196.359,6939.130783,95.878,560.993783,560.993783
80190,11/14/2019 22:17,12.95206626,0.024706,99.7537,294.5971,144.7928,276.4086,7659.065,111.179,1470.155,1091.705
88756,11/14/2019 22:17,15.020327,0.003356,97.745,104.902,288.607,171.722,6938.766171,95.87,583.914958,537.343384
37593,11/14/2019 22:18,15.019143,0,97.722,130.624,0,275.859,6939.130783,95.878,560.993783,560.993783
69643,11/14/2019 22:18,14.20778124,0.0231223,99.1745,123.2119,3.5202,356.7535,7200.859,101.352,989.224,656.224
76030,11/14/2019 22:18,14.14587421,0.012655,98.7885,309.7528,276.0199,145.3513,7221.853,101.796,935.11,752.325
54572,11/14/2019 22:19,12.29301931,0.0686639,65.8753,179.9619,291.407,177.2982,7930.418,117.139,2096.817,1007.75
56131,11/14/2019 22:19,14.652764,0.0098488,98.6738,296.3391,333.0423,87.3283,7054.325,98.274,745.666,606.713
57253,11/14/2019 22:19,14.0077632,0.0059519,98.8232,3.4401,147.931,212.5499,7269.245,102.8,934.375,847.844
6941,11/14/2019 22:20,14.2990472,0.011356,98.3815,301.9999,37.3169,15.0966,7170.186,100.706,873.475,710.626
38025,11/14/2019 22:20,15.019143,0,97.727,53.464,0,272.937,6939.130783,95.878,560.993783,560.993783
47719,11/14/2019 22:21,14.94945275,0.0019331,98.7428,125.3552,188.7702,171.318,6960.679,96.324,596,569.088
91942,11/14/2019 22:21,14.66056911,0.0062525,99.0984,312.9541,122.5817,300.7376,7051.821,98.222,717.777,629.594
98101,11/14/2019 22:21,14.36046153,0.004017,74.0341,129.3231,133.7609,335.0366,7149.728,100.275,800.314,742.873
2500,11/14/2019 22:22,14.07315003,0.0010158,82.5407,30.8442,330.683,29.3772,7246.711,102.322,875.937,861.215
26109,11/14/2019 22:22,14.08184111,0.0097343,99.1185,305.9733,13.7011,15.8199,7243.729,102.259,936.106,795.081
96564,11/14/2019 22:22,15.019143,0,97.746,79.186,0,283.91,6939.130783,95.878,560.993783,560.993783
2205,11/14/2019 22:23,14.34098541,0.0066619,98.5848,299.4542,36.8545,16.0067,7156.2,100.411,825.739,730.391
65582,11/14/2019 22:23,13.80917419,0.0180737,90.228,282.1083,165.3942,255.0869,7338.771,104.278,1093.275,827.997
21241,11/14/2019 22:24,13.01498502,0.0021989,90.2949,295.1775,41.0218,344.3172,7634.361,110.641,1273.013,1239.439
23821,11/14/2019 22:24,0.98294526,0.0004934,0.3781,87.1844,236.6605,36.1509,42728.3,1464.984,36371.247,36329.083
55874,11/14/2019 22:24,15.06971984,0.0005565,98.5978,121.7318,249.0463,263.6339,6923.596,95.555,549.314,541.608
85700,11/14/2019 22:24,12.9838584,0.0031472,90.2951,307.0758,66.5088,322.1881,7646.558,110.906,1292.488,1244.357
99764,11/14/2019 22:25,12.79273745,0.0149815,101.9063,111.4794,184.1101,328.5672,7722.528,112.563,1460.088,1228.698
30866,11/14/2019 22:27,14.37664989,0.0074551,98.7079,357.4579,317.354,42.1873,7144.36,100.162,819.487,712.963
24749,11/14/2019 22:28,13.80003131,0.0034573,99.5774,93.4279,325.1199,162.7936,7342.012,104.347,989.261,938.494
30206,11/14/2019 22:28,15.015805,0.001964,97.72,130.603,110.515,48.561,6940.159127,95.899,575.65583,548.388423
80735,11/14/2019 22:28,12.45044422,0.0637015,66.0218,124.0307,175.2645,344.5698,7863.428,115.658,1986.205,984.381
5833,11/14/2019 22:29,14.08014599,0.0047731,98.7776,358.195,11.4028,348.8212,7244.31,102.271,900.753,831.597
25352,11/14/2019 22:29,10.18478776,0.1735861,65.0091,256.7189,33.2085,336.6551,8990.155,141.387,4172.586,1051.454
79606,11/14/2019 22:29,13.909779,0.050964,97.727,128.471,75.028,53.143,7303.342718,103.524,1297.41603,552.995406
28692,11/14/2019 22:30,15.019143,0,97.636,182.065,0,279.753,6939.130783,95.878,560.993783,560.993783
72643,11/14/2019 22:30,15.019143,0,97.636,182.065,0,207.753,6939.130783,95.878,560.993783,560.993783
80862,11/14/2019 22:32,14.82799176,0.0015616,71.1076,269.9055,117.4465,298.922,6998.639,97.113,631.433,609.575
5813,11/14/2019 22:33,14.11033641,0.0063944,98.9221,15.263,25.6166,334.815,7233.973,102.052,902.095,809.581
26988,11/14/2019 22:33,14.34129586,0.0020935,65.0149,65.8625,273.5871,86.282,7156.097,100.409,792.943,762.981
75797,11/14/2019 22:33,14.49665868,0.0031018,86.3395,21.278,269.4625,90.3025,7104.877,99.333,748.779,704.704
86077,11/14/2019 22:33,15.019143,0,97.683,156.352,0,95.566,6939.130783,95.878,560.993783,560.993783
95991,11/14/2019 22:33,15.019143,0,97.589,207.78,0,294.419,6939.130783,95.878,560.993783,560.993783
99323,11/14/2019 22:33,6.94694774,0.4249257,23.1889,155.2111,58.9634,335.9987,11602.168,207.285,10154.092,293.973
63646,11/14/2019 22:35,15.019143,0,97.683,156.353,0,7.066,6939.130783,95.878,560.993783,560.993783
30059,11/14/2019 22:36,13.58219037,0.0498858,98.0983,136.6352,243.1185,111.8151,7420.308,106.021,1412.341,672.005
36829,11/14/2019 22:36,15.019143,0,97.746,79.195,0,168.41,6939.130783,95.878,560.993783,560.993783
24497,11/14/2019 22:37,14.04400168,0.0025396,82.5409,37.4366,76.4668,283.933,7256.734,102.534,897.029,860.17
88150,11/14/2019 22:37,15.019143,0,97.683,156.355,0,86.566,6939.130783,95.878,560.993783,560.993783
86091,11/14/2019 22:38,13.99380859,0.0078728,98.8608,7.6848,194.513,165.3773,7274.076,102.902,953.209,838.674
48422,11/14/2019 22:39,14.00459913,0.0067808,98.9331,16.3017,174.6161,185.5748,7270.339,102.823,941.503,842.906
48510,11/14/2019 22:40,15.24868228,0.0005857,51.6414,151.6302,309.8115,50.2347,6869.318,94.434,495.206,487.159
76684,11/14/2019 22:40,15.019143,0,97.727,53.478,0,323.937,6939.130783,95.878,560.993783,560.993783
9191,11/14/2019 22:41,15.042315,0.00249,97.718,130.629,64.512,168.374,6932.00274,95.73,571.126131,536.605349
14381,11/14/2019 22:41,14.52614346,0.0088419,66.6988,258.893,307.1305,52.1749,7095.259,99.131,779.86,654.389
83791,11/14/2019 22:41,14.68183724,0.0074735,97.7275,21.2525,294.1593,65.1811,7045.009,98.08,719.525,614.223
375,11/14/2019 22:42,14.19329966,0.0040185,98.6218,208.5664,151.9885,208.3466,7205.756,101.456,856.578,798.665
7682,11/14/2019 22:42,15.13893577,0.042284,49.8591,217.2652,203.4754,154.6383,6902.476,95.118,816.205,232.477
34723,11/14/2019 22:42,12.83380988,0.0352041,99.5683,298.2681,143.8583,245.792,7706.043,112.203,1599.192,1056.623
51679,11/14/2019 22:42,12.42086234,0.0696001,65.7773,92.9682,13.5953,66.7978,7875.908,115.933,2045.937,949.609
9318,11/14/2019 22:43,12.66034983,0.0233113,101.2486,296.3029,306.962,116.0526,7776.27,113.74,1579.41,1216.86
10312,11/14/2019 22:43,14.98205053,0.0056692,99.0342,17.4132,244.5909,114.9434,6950.579,96.115,611.848,533.04
76034,11/14/2019 22:43,14.01074252,0.001433,98.7375,299.76,21.6753,42.4604,7268.214,102.778,900.494,879.664
98549,11/14/2019 22:43,14.58825888,0.0105775,99.274,1.2663,343.6553,16.1241,7075.104,98.709,771.806,622.132
47289,11/14/2019 22:45,14.07580982,0.0025177,99.4575,221.5377,148.9529,211.3132,7245.798,102.303,885.906,849.42
50707,11/14/2019 22:45,13.74492411,0.0032456,82.9416,255.7591,225.6998,202.9316,7361.623,104.765,1007.381,959.595
81683,11/14/2019 22:45,15.019143,0,97.683,156.36,0,92.566,6939.130783,95.878,560.993783,560.993783
86775,11/14/2019 22:45,5.6197371,0.5067487,61.4818,183.4544,19.5679,354.4786,13363.632,256.239,13757.5,213.493
99359,11/14/2019 22:45,13.74507356,0.0012547,99.2233,119.3293,29.1911,330.9937,7361.57,104.764,992.671,974.198
70082,11/14/2019 22:47,15.019143,0,97.683,156.362,0,28.066,6939.130783,95.878,560.993783,560.993783
53279,11/14/2019 22:48,14.55593079,0.0047843,73.83,175.4848,219.5077,140.2594,7085.576,98.928,741.34,673.541
54491,11/14/2019 22:50,15.1810754,0.005396,97.9089,224.9844,159.9886,200.3479,6889.697,94.854,548.739,474.385
16382,11/14/2019 22:53,14.11585182,0.0025639,98.8397,310.8704,307.0182,52.8644,7232.089,102.012,872.496,835.411
37932,11/14/2019 22:53,14.50800063,0.0066133,99.6089,298.5389,133.3053,227.3678,7101.173,99.255,770,676.076
74374,11/14/2019 22:53,12.85239868,0.0220684,73.7888,142.2278,200.9056,233.5541,7698.611,112.041,1490.372,1150.58
36363,11/14/2019 22:55,13.35265597,0.0139525,99.7152,319.0767,14.4602,14.8878,7505.104,107.843,1231.684,1022.254
45702,11/14/2019 22:55,15.16096198,0.0011249,97.5033,2.3343,232.8642,248.3039,6895.789,94.98,525.411,509.897
51325,11/14/2019 22:56,12.08073238,0.0304485,101.8437,210.8242,50.0764,17.1351,8023.053,119.198,1889.208,1400.628
85054,11/14/2019 22:56,13.47152646,0.0054957,99.8377,223.0508,109.6507,309.4572,7460.889,106.892,1123.757,1041.752
62367,11/14/2019 22:57,12.9702847,0.0035854,90.2994,289.1547,132.8873,293.1678,7651.892,111.023,1301.192,1246.321
70415,11/14/2019 22:57,13.40507642,0.0448078,73.9659,170.3435,290.8087,131.2362,7485.525,107.421,1442.8,771.98
5926,11/14/2019 22:58,12.05636687,0.0505521,81.9773,289.3498,81.6195,336.5521,8033.858,119.438,2061.852,1249.595
10518,11/14/2019 22:58,14.13669892,0.0028482,98.8159,310.955,320.7284,39.1823,7224.977,101.862,867.42,826.264
34001,11/14/2019 22:58,13.54114098,0.0095439,89.9773,14.1049,143.2808,339.7236,7435.297,106.342,1128.123,986.2
27643,11/14/2019 22:59,15.019143,0,97.746,79.211,0,206.66,6939.130783,95.878,560.993783,560.993783
33960,11/14/2019 22:59,15.019143,0,97.744,104.932,0,210.137,6939.130783,95.878,560.993783,560.993783
48173,11/14/2019 22:59,12.95288607,0.0026311,90.2995,299.1072,192.9532,222.2176,7658.742,111.172,1300.758,1260.456
72234,11/14/2019 22:59,14.17780915,0.0008491,98.789,319.7049,37.0321,323.1438,7211.004,101.567,838.992,826.746
94014,11/14/2019 22:59,12.98892708,0.0021637,90.2921,311.3518,10.2949,349.8611,7644.568,110.863,1282.974,1249.893
44093,11/14/2019 23:00,15.019143,0,97.636,182.086,0,128.253,6939.130783,95.878,560.993783,560.993783
84606,11/14/2019 23:00,14.56020982,0.0051771,98.4646,220.1776,26.0848,33.4932,7084.188,98.899,742.728,669.377
49579,11/14/2019 23:01,14.75617401,0.0060465,73.7985,303.789,206.6573,153.1489,7021.329,97.586,685.648,600.739
78516,11/14/2019 23:01,13.77340216,0.0084344,82.9346,133.1053,46.6007,105.7046,7351.472,104.549,1035.343,911.332
84146,11/14/2019 23:01,13.72857715,0.019852,71.0719,130.8156,95.2364,19.9006,7367.466,104.89,1135.59,843.072
25069,11/14/2019 23:03,12.13308595,0.0049238,82.9646,36.8965,112.631,7.4471,7999.957,118.683,1661.212,1582.431
90056,11/14/2019 23:04,14.1885438,0.0010098,98.7825,321.5198,100.4956,259.7357,7207.366,101.49,836.509,821.953
